warehouse_code,region_code,id,delivery_date,product_id,name,step_unit,supplier_id,price,quantity
ALQ,BOG,12818963,2023-08-26,935,Ají Pimiento Estándar Kg,0.5,253,7000.0,14.0
ALQ,BOG,12632793,2023-08-05,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,13.0
ALQ,BOG,12504845,2023-07-22,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,15.0
ALQ,BOG,12568418,2023-07-29,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,12.0
ALQ,BOG,12441285,2023-07-15,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,13.0
ALQ,BOG,12033375,2023-06-03,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,10.0
ALQ,BOG,12757291,2023-08-19,935,Ají Pimiento Estándar Kg,0.5,253,7000.0,14.0
ALQ,BOG,12379040,2023-07-08,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,13.0
ALQ,BOG,12308615,2023-07-01,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,14.0
ALQ,BOG,12103964,2023-06-10,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,13.0
ALQ,BOG,12243319,2023-06-24,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,12.0
ALQ,BOG,12177784,2023-06-17,935,Ají Pimiento Estándar Kg,0.5,253,7500.0,13.0
ALQ,BOG,12654408,2023-08-08,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,27.0
ALQ,BOG,12187786,2023-06-19,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,5146,22500.0,44.0
ALQ,BOG,12633783,2023-08-05,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,42.0
ALQ,BOG,12685699,2023-08-11,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,70.0
ALQ,BOG,12796960,2023-08-24,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18300.0,46.0
ALQ,BOG,12641577,2023-08-07,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,56.0
ALQ,BOG,12664075,2023-08-09,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,46.0
ALQ,BOG,12707430,2023-08-14,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,4341,18000.0,64.0
ALQ,BOG,12737306,2023-08-17,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,56.0
ALQ,BOG,12268214,2023-06-28,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,2168,16850.0,35.0
ALQ,BOG,11999228,2023-06-01,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,2168,16850.0,26.0
ALQ,BOG,12547476,2023-07-27,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,4341,18000.0,24.0
ALQ,BOG,12747533,2023-08-18,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,62.0
ALQ,BOG,12765221,2023-08-21,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18500.0,61.0
ALQ,BOG,12675090,2023-08-10,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,49.0
ALQ,BOG,12738259,2023-08-17,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,7.0
ALQ,BOG,12785839,2023-08-23,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18300.0,1.0
ALQ,BOG,12725748,2023-08-16,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,47.0
ALQ,BOG,12775779,2023-08-22,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18500.0,67.0
ALQ,BOG,12697646,2023-08-12,1562,Champiñón Blanco Paris 1Kg - Bandeja,1.0,6226,18000.0,1.0
ALQ,BOG,12221847,2023-06-22,420,Pimentón Maduración Mixta Estándar (Cuatro Cascos) - Desde 2Kg,1.0,5370,3500.0,80.0
ALQ,BOG,12530683,2023-07-25,420,Pimentón Maduración Mixta Estándar (Cuatro Cascos) - Desde 2Kg,1.0,798,1100.0,52.0
ALQ,BOG,12448459,2023-07-17,12156,Acelga Estándar - Atado,1.0,4341,500.0,449.0
ALQ,BOG,12757390,2023-08-19,12156,Acelga Estándar - Atado,1.0,4341,500.0,190.0
ALQ,BOG,12308583,2023-07-01,12156,Acelga Estándar - Atado,1.0,4341,500.0,132.0
ALQ,BOG,12252943,2023-06-26,12156,Acelga Estándar - Atado,1.0,4341,600.0,53.0
ALQ,BOG,12255425,2023-06-26,12156,Acelga Estándar - Atado,1.0,4341,600.0,500.0
ALQ,BOG,12685701,2023-08-11,12156,Acelga Estándar - Atado,1.0,4341,550.0,356.0
ALQ,BOG,12775893,2023-08-22,12156,Acelga Estándar - Atado,1.0,4341,500.0,497.0
ALQ,BOG,12199215,2023-06-20,12156,Acelga Estándar - Atado,1.0,4341,600.0,391.0
ALQ,BOG,12725697,2023-08-16,12156,Acelga Estándar - Atado,1.0,4341,500.0,373.0
